INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('FP2AUZ', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('5OAKMW', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('JWL8QY', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ESJ55W', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('GOT9OR', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('NLDXJD', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('IAJVFG', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('TPYGVX', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('K1E8FG', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('U5H81I', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('51DCG0', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('RDTBSK', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('WH7U9M', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('2Q5XHG', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('HJY33A', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('4UFQ6U', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('13I5IK', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('MYMMW2', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('HA58J8', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('V9DRQZ', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('5UCKQT', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('511QAF', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('N7E2YD', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('R1O50K', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('SKSIBL', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('WXTGW4', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('H8SUOZ', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('PNB8XF', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ZUTOW6', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ALN1IS', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('UVFIZF', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ZIGB5L', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('SN3G9Y', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('09BU8U', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('FVKDML', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('5OVS1L', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('2P54B3', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('BAZH0F', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('B2YW5W', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('LLDOK0', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('BNGGVU', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('LU0GDY', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('8SYY1W', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('KSOUVT', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('CHBRT5', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('N9EDJF', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('DZQC5W', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('1AR3MC', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('OU89V5', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('3D6M2K', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('IBJ5S6', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('2WP10U', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('JGFT0U', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('Q03STA', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('S8M81H', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('8TTS56', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ZBA2K5', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('2OA9BI', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('EVW4WF', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('EGL2JA', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('JZKTVX', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('W51PBA', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('LHI77O', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('7YVARJ', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('R05PVI', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('SYRHES', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('VS5XMX', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('4IPMA0', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('IOIXOF', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('P6562O', 'SZTE-UZEM', 0);
